aroma,code
Acetaldehyde,A01
Ethyl Acetate,A02
Ethanol,A03
"Hexane, 2,4-dimethyl-",A04
"1-Propanol, 2-methyl-",A05
"1-Butanol, 2-methyl-, acetate",A06
2-Heptanone,A07
"1-Butanol, 3-methyl-",A08
"hexanoic acid, ethyl ester",A09
"Benzene, 1-methyl-2-(1-methylethyl)-",A10
"2-Butanone, 3-hydroxy-",A11
2-Heptanol,A12
"Propanoic acid, 2-hydroxy-, ethyl ester, (S)-",A13
Acetic anhydride,A14
"Pentanal, 2-methyl-",A15
"Octanoic acid, ethyl ester",A16
"Benzene, 1,3-bis(1,1-dimethylethyl)-",A17
Acetic acid,A18
"1-Hexene, 3,5-dimethyl-",A19
"Propanoic acid, 2-methyl-",A20
Butanoic acid,A21
"Nonanoic acid, 5-methyl-, ethyl ester",A22
"Butanoic acid, 3-methyl-",A23
Hexanoic acid,A24
Phenylethyl Alcohol,A25
Octanoic Acid,A26
Nonanoic acid,A27
n-Decanoic acid,A28
Benzoic acid,A29