TRANSFER,COMMUNITY,REP,SPACE,SAMPLE,PLATE,barcode
t01,con,1,all,s001,plate1,bc01
t01,con,2,all,s002,plate1,bc02
t01,con,3,all,s003,plate1,bc03
t01,con,4,all,s004,plate2,bc01
t01,con,5,all,s005,plate2,bc02
t01,con,6,all,s006,plate2,bc03
t01,top,1,up,s007,plate1,bc04
t01,top,2,up,s008,plate1,bc05
t01,top,3,up,s009,plate1,bc06
t01,top,4,up,s010,plate2,bc04
t01,top,5,up,s011,plate2,bc05
t01,top,6,up,s012,plate2,bc06
t01,bot,1,low,s013,plate1,bc07
t01,bot,2,low,s014,plate1,bc08
t01,bot,3,low,s015,plate1,bc09
t01,bot,4,low,s016,plate2,bc07
t01,bot,5,low,s017,plate2,bc08
t01,bot,6,low,s018,plate2,bc09
t01,mix,1,all,s019,plate1,bc10
t01,mix,2,all,s020,plate1,bc11
t01,mix,3,all,s021,plate1,bc12
t01,mix,4,all,s022,plate2,bc10
t01,mix,5,all,s023,plate2,bc11
t01,mix,6,all,s024,plate2,bc12
t01,inv,1,all,s025,plate1,bc13
t01,inv,2,all,s026,plate1,bc14
t01,inv,3,all,s027,plate1,bc15
t01,inv,4,all,s028,plate2,bc13
t01,inv,5,all,s029,plate2,bc14
t01,inv,6,all,s030,plate2,bc15
t09,con,1,all,s031,plate1,bc16
t09,con,2,all,s032,plate1,bc17
t09,con,3,all,s033,plate1,bc18
t09,con,4,all,s034,plate2,bc16
t09,con,5,all,s035,plate2,bc17
t09,con,6,all,s036,plate2,bc18
t09,top,1,all,s037,plate1,bc19
t09,top,2,all,s038,plate1,bc20
t09,top,3,all,s039,plate1,bc21
t09,top,4,all,s040,plate2,bc19
t09,top,5,all,s041,plate2,bc20
t09,top,6,all,s042,plate2,bc21
t09,bot,1,all,s043,plate1,bc22
t09,bot,2,all,s044,plate1,bc23
t09,bot,3,all,s045,plate1,bc24
t09,bot,4,all,s046,plate2,bc22
t09,bot,5,all,s047,plate2,bc23
t09,bot,6,all,s048,plate2,bc24
t09,mix,1,all,s049,plate1,bc25
t09,mix,2,all,s050,plate1,bc26
t09,mix,3,all,s051,plate1,bc27
t09,mix,4,all,s052,plate2,bc25
t09,mix,5,all,s053,plate2,bc26
t09,mix,6,all,s054,plate2,bc27
t09,inv,1,all,s055,plate1,bc28
t09,inv,2,all,s056,plate1,bc29
t09,inv,3,all,s057,plate1,bc30
t09,inv,4,all,s058,plate2,bc28
t09,inv,5,all,s059,plate2,bc29
t09,inv,6,all,s060,plate2,bc30
t09,con,1,up,s061,plate1,bc31
t09,con,2,up,s062,plate1,bc32
t09,con,3,up,s063,plate1,bc33
t09,con,4,up,s064,plate2,bc31
t09,con,5,up,s065,plate2,bc32
t09,con,6,up,s066,plate2,bc33
t09,top,1,up,s067,plate1,bc34
t09,top,2,up,s068,plate1,bc35
t09,top,3,up,s069,plate1,bc36
t09,top,4,up,s070,plate2,bc34
t09,top,5,up,s071,plate2,bc35
t09,top,6,up,s072,plate2,bc36
t09,bot,1,up,s073,plate1,bc37
t09,bot,2,up,s074,plate1,bc38
t09,bot,3,up,s075,plate1,bc39
t09,bot,4,up,s076,plate2,bc37
t09,bot,5,up,s077,plate2,bc38
t09,bot,6,up,s078,plate2,bc39
t09,con,1,low,s079,plate1,bc40
t09,con,2,low,s080,plate1,bc41
t09,con,3,low,s081,plate1,bc42
t09,con,4,low,s082,plate2,bc40
t09,con,5,low,s083,plate2,bc41
t09,con,6,low,s084,plate2,bc42
t09,top,1,low,s085,plate1,bc43
t09,top,2,low,s086,plate1,bc44
t09,top,3,low,s087,plate1,bc45
t09,top,4,low,s088,plate2,bc43
t09,top,5,low,s089,plate2,bc44
t09,top,6,low,s090,plate2,bc45
t09,bot,1,low,s091,plate1,bc46
t09,bot,2,low,s092,plate1,bc47
t09,bot,3,low,s093,plate1,bc48
t09,bot,4,low,s094,plate2,bc46
t09,bot,5,low,s095,plate2,bc47
t09,bot,6,low,s096,plate2,bc48
t12,con,1,all,s097,plate1,bc49
t12,con,2,all,s098,plate1,bc50
t12,con,3,all,s099,plate1,bc51
t12,con,4,all,s100,plate2,bc49
t12,con,5,all,s101,plate2,bc50
t12,con,6,all,s102,plate2,bc51
t12,inv,1,all,s103,plate1,bc52
t12,inv,2,all,s104,plate1,bc53
t12,inv,3,all,s105,plate1,bc54
t12,inv,4,all,s106,plate2,bc52
t12,inv,5,all,s107,plate2,bc53
t12,inv,6,all,s108,plate2,bc54
t19,con,1,all,s109,plate1,bc55
t19,con,2,all,s110,plate1,bc56
t19,con,3,all,s111,plate1,bc57
t19,con,4,all,s112,plate2,bc55
t19,con,5,all,s113,plate2,bc56
t19,con,6,all,s114,plate2,bc57
t19,top,1,all,s115,plate1,bc58
t19,top,2,all,s116,plate1,bc59
t19,top,3,all,s117,plate1,bc60
t19,top,4,all,s118,plate2,bc58
t19,top,5,all,s119,plate2,bc59
t19,top,6,all,s120,plate2,bc60
t19,bot,1,all,s121,plate1,bc61
t19,bot,2,all,s122,plate1,bc62
t19,bot,3,all,s123,plate1,bc63
t19,bot,4,all,s124,plate2,bc61
t19,bot,5,all,s125,plate2,bc62
t19,bot,6,all,s126,plate2,bc63
t19,mix,1,all,s127,plate1,bc64
t19,mix,2,all,s128,plate1,bc65
t19,mix,3,all,s129,plate1,bc66
t19,mix,4,all,s130,plate2,bc64
t19,mix,5,all,s131,plate2,bc65
t19,mix,6,all,s132,plate2,bc66
t19,inv,1,all,s133,plate1,bc67
t19,inv,2,all,s134,plate1,bc68
t19,inv,3,all,s135,plate1,bc69
t19,inv,4,all,s136,plate2,bc67
t19,inv,5,all,s137,plate2,bc68
t19,inv,6,all,s138,plate2,bc69
t19,rec,1,all,s139,plate1,bc70
t19,rec,2,all,s140,plate1,bc71
t19,rec,3,all,s141,plate1,bc72
t19,rec,4,all,s142,plate2,bc70
t19,rec,5,all,s143,plate2,bc71
t19,rec,6,all,s144,plate2,bc72
t19,con,1,up,s145,plate1,bc73
t19,con,2,up,s146,plate1,bc74
t19,con,3,up,s147,plate1,bc75
t19,con,4,up,s148,plate2,bc73
t19,con,5,up,s149,plate2,bc74
t19,con,6,up,s150,plate2,bc75
t19,top,1,up,s151,plate1,bc76
t19,top,2,up,s152,plate1,bc77
t19,top,3,up,s153,plate1,bc78
t19,top,4,up,s154,plate2,bc76
t19,top,5,up,s155,plate2,bc77
t19,top,6,up,s156,plate2,bc78
t19,bot,1,up,s157,plate1,bc79
t19,bot,2,up,s158,plate1,bc80
t19,bot,3,up,s159,plate1,bc81
t19,bot,4,up,s160,plate2,bc79
t19,bot,5,up,s161,plate2,bc80
t19,bot,6,up,s162,plate2,bc81
t19,con,1,low,s163,plate1,bc82
t19,con,2,low,s164,plate1,bc83
t19,con,3,low,s165,plate1,bc84
t19,con,4,low,s166,plate2,bc82
t19,con,5,low,s167,plate2,bc83
t19,con,6,low,s168,plate2,bc84
t19,top,1,low,s169,plate1,bc85
t19,top,2,low,s170,plate1,bc86
t19,top,3,low,s171,plate1,bc87
t19,top,4,low,s172,plate2,bc85
t19,top,5,low,s173,plate2,bc86
t19,top,6,low,s174,plate2,bc87
t19,bot,1,low,s175,plate1,bc88
t19,bot,2,low,s176,plate1,bc89
t19,bot,3,low,s177,plate1,bc90
t19,bot,4,low,s178,plate2,bc88
t19,bot,5,low,s179,plate2,bc89
t19,bot,6,low,s180,plate2,bc90
t00,t00,1,all,s181,plate1,bc91
t00,t00,2,all,s182,plate1,bc92
F1.1,F1.1,1,all,s183,plate1,bc93
M+,M+,1,all,s184,plate1,bc94
zym,zym,1,all,s185,plate1,bc95
neg,neg,1,all,s186,plate1,bc96
t00,t00,3,all,s187,plate2,bc91
t00,t00,4,all,s188,plate2,bc92
F1.1,F1.1,2,all,s189,plate2,bc93
M+,M+,2,all,s190,plate2,bc94
zym,zym,2,all,s191,plate2,bc95
neg,neg,2,all,s192,plate2,bc96